,Column Status,,,,,,,,,,,,,,,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Complete,58,8,2,2,2,2,0,0,0,4,4,8,28,12,28,N/A,N/A,65,Win,47,Win,78,Battle,17,Preparation,18,Preparation,36,Loss,73,Loss,55,Battle
Complete,59,8,2,2,2,2,0,0,0,4,4,17,28,14,28,N/A,N/A,39,Battle,20,Win,45,Preparation,43,Preparation,44,Loss,67,Loss,41,Win,40,Battle
Complete,60,8,3,3,1,1,0,0,0,6,4,21,42,16,28,N/A,N/A,46,Preparation,65,Win,90,Loss,20,Preparation,53,Preparation,64,Win,34,Win,39,Battle
Complete,61,8,6,2,0,0,0,0,0,8,6,24,55,20,41,N/A,N/A,80,Preparation,51,Win,139,Win,27,Win,62,Win,18,Win,50,Win,36,Preparation
Complete,62,8,3,3,1,1,0,0,0,6,4,17,43,14,29,N/A,N/A,38,Preparation,48,Win,79,Battle,35,Win,61,Loss,44,Preparation,11,Win,45,Preparation
Complete,63,7,3,1,0,3,1,0,0,4,3,7,25,8,19,N/A,N/A,69,Loss,52,Win,159,Loss,N/A,Bye,52,Preparation,31,Win,64,Loss,51,Win
Complete,64,8,3,1,2,2,0,0,0,4,5,11,27,15,33,N/A,N/A,83,Battle,49,Loss,164,Battle,65,Preparation,47,Win,60,Loss,63,Win,52,Win
Complete,65,8,1,0,2,5,0,0,0,1,3,3,7,11,20,N/A,N/A,58,Loss,60,Loss,126,Battle,64,Battle,21,Loss,52,Loss,16,Win,43,Loss
Complete,66,8,5,1,1,1,0,0,0,6,6,19,42,20,42,N/A,N/A,78,Win,35,Win,70,Win,47,Win,17,Win,57,Preparation,75,Loss,54,Battle
Complete,67,8,4,0,1,3,0,0,0,4,5,15,28,19,35,N/A,N/A,50,Win,36,Loss,68,Win,42,Loss,43,Win,59,Win,22,Loss,48,Battle
Complete,68,8,4,1,0,3,0,0,0,5,4,16,32,12,25,N/A,N/A,49,Win,86,Loss,67,Loss,111,Win,88,Loss,117,Win,37,Preparation,96,Win
Complete,69,8,3,0,3,2,0,0,0,3,6,7,19,22,37,N/A,N/A,63,Win,149,Battle,156,Battle,109,Loss,115,Loss,97,Battle,17,Win,102,Win
Complete,70,8,0,1,2,5,0,0,0,1,2,1,7,4,13,N/A,N/A,71,Preparation,95,Loss,66,Loss,106,Battle,109,Loss,87,Loss,29,Battle,99,Loss
Complete,71,8,1,0,2,5,0,0,0,1,3,0,6,8,20,N/A,N/A,70,Battle,109,Loss,33,Loss,76,Loss,104,Win,84,Loss,80,Battle,93,Loss
Complete,72,8,1,1,1,5,0,0,0,2,2,6,13,6,13,N/A,N/A,56,Win,75,Loss,137,Loss,101,Loss,81,Loss,89,Loss,114,Battle,126,Preparation
Complete,73,7,3,0,1,3,1,0,0,3,4,7,19,8,25,N/A,N/A,N/A,Bye,108,Loss,31,Win,98,Loss,97,Loss,133,Battle,58,Win,120,Win
Complete,74,8,3,0,0,5,0,0,0,3,3,10,18,9,18,N/A,N/A,86,Loss,82,Loss,97,Win,99,Win,110,Win,85,Loss,53,Loss,82,Loss
Complete,75,8,4,0,3,1,0,0,0,4,7,10,26,28,45,N/A,N/A,53,Battle,72,Win,109,Battle,91,Win,86,Loss,101,Battle,66,Win,142,Win
Complete,76,8,2,2,1,3,0,0,0,4,3,8,23,8,18,N/A,N/A,57,Loss,114,Preparation,115,Battle,71,Win,114,Win,90,Loss,112,Preparation,77,Loss
Complete,77,8,2,2,3,1,0,0,0,4,5,17,28,19,33,N/A,N/A,88,Preparation,99,Battle,153,Battle,94,Loss,79,Win,82,Battle,40,Preparation,76,Win
Complete,78,8,2,4,0,2,0,0,0,6,2,25,40,8,13,N/A,N/A,66,Loss,163,Loss,58,Preparation,80,Preparation,105,Win,79,Win,46,Preparation,101,Preparation
Complete,79,8,2,1,2,3,0,0,0,3,4,12,20,17,26,N/A,N/A,87,Battle,92,Loss,62,Preparation,88,Battle,77,Loss,78,Loss,52,Win,87,Win
Complete,80,8,2,3,3,0,0,0,0,5,5,11,32,20,34,N/A,N/A,61,Battle,84,Win,135,Preparation,78,Battle,95,Preparation,88,Battle,71,Preparation,122,Win
Complete,81,8,2,2,1,3,0,0,0,4,3,7,26,6,19,N/A,N/A,85,Preparation,118,Battle,162,Loss,104,Win,72,Win,91,Preparation,108,Loss,97,Loss
Complete,82,8,5,1,0,2,0,0,0,6,5,18,38,14,31,N/A,N/A,89,Win,74,Win,173,Loss,96,Win,91,Win,77,Preparation,107,Loss,74,Win
Complete,83,8,1,3,1,3,0,0,0,4,2,14,26,9,12,N/A,N/A,64,Preparation,89,Loss,132,Loss,97,Win,84,Preparation,98,Battle,111,Loss,91,Preparation
Complete,84,8,3,2,1,2,0,0,0,5,4,10,33,11,27,N/A,N/A,55,Win,80,Loss,48,Preparation,105,Loss,83,Battle,71,Win,102,Preparation,95,Win
Complete,85,8,5,0,1,2,0,0,0,5,6,10,31,17,38,N/A,N/A,81,Battle,100,Win,49,Loss,112,Win,106,Win,74,Win,88,Loss,94,Win
Complete,86,8,7,0,0,1,0,0,0,7,7,29,46,29,46,N/A,N/A,74,Win,68,Win,107,Win,87,Win,75,Win,165,Loss,109,Win,90,Win
Complete,87,8,3,1,1,3,0,0,0,4,4,8,27,14,26,N/A,N/A,79,Preparation,90,Battle,95,Win,86,Loss,92,Loss,70,Win,49,Win,79,Loss
Complete,88,8,4,2,2,0,0,0,0,6,6,21,40,21,40,N/A,N/A,77,Battle,104,Win,89,Battle,79,Preparation,68,Win,80,Preparation,85,Win,107,Win
Complete,89,8,2,3,1,2,0,0,0,5,3,13,34,5,20,N/A,N/A,82,Loss,83,Win,88,Preparation,110,Preparation,108,Loss,72,Win,51,Preparation,133,Battle
Complete,90,7,5,1,0,1,0,0,0,6,5,26,40,17,33,N/A,N/A,N/A,N/A,87,Preparation,60,Win,113,Win,107,Win,76,Win,57,Win,86,Loss
Complete,91,7,0,0,3,4,0,0,0,0,3,0,0,8,20,N/A,N/A,N/A,N/A,139,Battle,138,Loss,75,Loss,82,Loss,81,Battle,56,Loss,83,Battle
Complete,92,7,5,0,0,2,0,0,0,5,5,16,33,18,33,N/A,N/A,N/A,N/A,79,Win,117,Loss,114,Win,87,Win,95,Win,24,Win,162,Loss
Complete,93,7,2,2,1,2,0,0,0,4,3,11,27,9,20,N/A,N/A,N/A,N/A,106,Loss,30,Preparation,100,Preparation,103,Battle,116,Loss,23,Win,71,Win
Complete,94,7,1,2,1,3,0,0,0,3,2,9,20,7,13,N/A,N/A,N/A,N/A,121,Preparation,47,Preparation,77,Win,113,Loss,107,Battle,54,Loss,85,Loss
Complete,95,7,1,0,2,4,0,0,0,1,3,1,7,9,20,N/A,N/A,N/A,N/A,70,Win,87,Loss,107,Battle,80,Battle,92,Loss,115,Loss,84,Loss
Complete,96,7,1,2,1,3,0,0,0,3,2,3,19,5,12,N/A,N/A,N/A,N/A,111,Battle,28,Preparation,82,Loss,112,Preparation,102,Win,99,Loss,68,Loss
Complete,97,7,4,1,0,2,0,0,0,5,4,19,33,15,26,N/A,N/A,N/A,N/A,98,Win,74,Loss,83,Loss,73,Win,69,Preparation,55,Win,81,Win
Complete,98,7,3,1,2,1,0,0,0,4,5,9,25,13,30,N/A,N/A,N/A,N/A,97,Loss,160,Battle,73,Win,111,Battle,83,Preparation,106,Win,104,Win
Complete,99,7,3,2,0,2,0,0,0,5,3,11,32,6,19,N/A,N/A,N/A,N/A,77,Preparation,148,Loss,74,Loss,102,Win,103,Preparation,96,Win,70,Win
Complete,100,7,1,0,2,4,0,0,0,1,3,0,6,8,19,N/A,N/A,N/A,N/A,85,Loss,55,Battle,93,Battle,101,Loss,124,Loss,110,Win,139,Loss
Complete,101,7,3,1,2,1,0,0,0,4,5,11,27,15,33,N/A,N/A,N/A,N/A,105,Battle,53,Win,72,Win,100,Win,75,Preparation,105,Loss,78,Battle
Complete,102,7,0,0,2,5,0,0,0,0,2,0,0,6,13,N/A,N/A,N/A,N/A,129,Loss,136,Battle,115,Loss,99,Loss,96,Loss,84,Battle,69,Loss
Complete,103,7,1,2,2,2,0,0,0,3,3,14,19,9,18,N/A,N/A,N/A,N/A,137,Loss,54,Preparation,108,Battle,93,Preparation,99,Battle,113,Loss,119,Win
Complete,104,7,0,0,1,6,0,0,0,0,1,0,0,4,7,N/A,N/A,N/A,N/A,88,Loss,122,Loss,81,Loss,71,Loss,146,Loss,47,Battle,98,Loss
Complete,105,7,4,2,0,1,0,0,0,6,4,19,36,16,25,N/A,N/A,N/A,N/A,101,Preparation,41,Win,84,Win,78,Loss,112,Win,101,Win,135,Preparation
Complete,106,7,1,1,1,4,0,0,0,2,2,5,13,6,12,N/A,N/A,N/A,N/A,93,Win,169,Loss,70,Preparation,85,Loss,119,Loss,98,Loss,124,Battle
Complete,107,7,1,2,1,3,0,0,0,3,2,10,19,9,13,N/A,N/A,N/A,N/A,135,Battle,86,Loss,95,Preparation,90,Loss,94,Preparation,82,Win,88,Loss
Complete,108,7,3,3,0,1,0,0,0,6,3,19,38,10,20,N/A,N/A,N/A,N/A,73,Win,170,Loss,103,Preparation,89,Win,110,Preparation,81,Win,131,Preparation
Complete,109,7,3,1,1,2,0,0,0,4,4,9,28,15,27,N/A,N/A,N/A,N/A,71,Win,75,Preparation,69,Win,70,Win,138,Battle,86,Loss,130,Loss
Complete,110,7,0,0,2,5,0,0,0,0,2,0,0,6,13,N/A,N/A,N/A,N/A,158,Loss,39,Loss,89,Battle,74,Loss,108,Battle,100,Loss,145,Loss
Complete,111,7,2,3,1,1,0,0,0,5,3,17,31,8,19,N/A,N/A,N/A,N/A,96,Preparation,149,Win,68,Loss,98,Preparation,141,Preparation,83,Win,115,Battle
Complete,112,7,1,0,3,3,0,0,0,1,4,2,7,9,26,N/A,N/A,N/A,N/A,133,Battle,52,Win,85,Loss,96,Battle,105,Loss,76,Battle,172,Loss
Complete,113,7,3,2,0,2,0,0,0,5,3,19,31,8,18,N/A,N/A,N/A,N/A,115,Win,43,Preparation,90,Loss,94,Win,130,Loss,103,Win,152,Preparation
Complete,114,7,1,2,1,3,0,0,0,3,2,8,19,6,13,N/A,N/A,N/A,N/A,76,Battle,158,Preparation,92,Loss,76,Loss,145,Loss,72,Preparation,147,Win
Complete,115,7,3,2,0,2,0,0,0,5,3,13,32,11,19,N/A,N/A,N/A,N/A,113,Loss,76,Preparation,102,Win,69,Win,123,Loss,95,Win,111,Preparation
Complete,116,7,3,1,3,0,0,0,0,4,6,18,25,23,36,N/A,N/A,N/A,N/A,143,Battle,36,Preparation,137,Battle,124,Win,93,Win,130,Battle,165,Win
Complete,117,7,1,0,2,4,0,0,0,1,3,5,6,11,18,N/A,N/A,N/A,N/A,138,Battle,92,Win,158,Loss,128,Loss,68,Loss,151,Loss,141,Battle
Complete,118,7,2,4,1,0,0,0,0,6,3,19,37,8,18,N/A,N/A,N/A,N/A,81,Preparation,120,Win,119,Battle,143,Preparation,125,Win,170,Preparation,121,Preparation
Complete,119,7,3,1,0,3,0,0,0,4,3,14,24,5,18,N/A,N/A,N/A,N/A,120,Win,155,Win,118,Preparation,127,Loss,106,Win,149,Loss,103,Loss
Complete,120,7,0,1,1,5,0,0,0,1,1,3,6,3,6,N/A,N/A,N/A,N/A,119,Loss,118,Loss,140,Loss,155,Loss,173,Battle,137,Preparation,73,Loss
Complete,121,7,1,0,2,4,0,0,0,1,3,1,6,7,18,N/A,N/A,N/A,N/A,94,Battle,142,Loss,138,Loss,166,Loss,122,Win,159,Loss,118,Battle
Complete,122,7,1,0,1,5,0,0,0,1,2,0,6,4,12,N/A,N/A,N/A,N/A,142,Loss,104,Win,126,Loss,174,Loss,121,Loss,131,Battle,80,Loss
Complete,123,7,5,2,0,0,0,0,0,7,5,24,42,15,30,N/A,N/A,N/A,N/A,160,Preparation,133,Win,157,Win,139,Preparation,115,Win,152,Win,174,Win
Complete,124,7,2,3,1,1,0,0,0,5,3,11,31,11,18,N/A,N/A,N/A,N/A,130,Win,35,Preparation,147,Battle,116,Loss,100,Win,173,Preparation,106,Preparation
Complete,125,7,4,2,0,1,0,0,0,6,4,19,36,12,24,N/A,N/A,N/A,N/A,147,Preparation,127,Win,149,Preparation,160,Win,118,Loss,136,Win,148,Win
Complete,126,7,1,1,2,3,0,0,0,2,3,2,13,6,19,N/A,N/A,N/A,N/A,155,Battle,65,Preparation,122,Win,171,Loss,139,Loss,134,Loss,72,Battle
Complete,127,7,2,1,1,3,0,0,0,3,3,14,18,8,18,N/A,N/A,N/A,N/A,140,Preparation,125,Loss,154,Win,119,Win,156,Loss,167,Battle,144,Loss
Complete,128,7,1,2,4,0,0,0,0,3,5,6,18,18,30,N/A,N/A,N/A,N/A,152,Preparation,144,Battle,153,Battle,117,Win,129,Battle,142,Preparation,132,Battle
Complete,129,7,3,1,1,2,0,0,0,4,4,9,25,15,25,N/A,N/A,N/A,N/A,102,Win,46,Win,148,Win,132,Loss,128,Preparation,157,Battle,149,Loss
Complete,130,7,3,1,2,1,0,0,0,4,5,16,24,18,30,N/A,N/A,N/A,N/A,124,Loss,161,Win,168,Battle,150,Battle,113,Win,116,Preparation,109,Win
Complete,131,7,2,2,1,2,0,0,0,4,3,12,24,10,18,N/A,N/A,N/A,N/A,178,Loss,143,Win,150,Loss,136,Preparation,137,Win,122,Preparation,108,Battle
Complete,132,7,2,3,1,1,0,0,0,5,3,15,31,9,19,N/A,N/A,N/A,N/A,168,Battle,83,Win,164,Preparation,129,Win,175,Preparation,171,Loss,128,Preparation
Complete,133,7,0,3,1,3,0,0,0,3,1,9,19,4,6,N/A,N/A,N/A,N/A,112,Preparation,123,Loss,146,Battle,134,Loss,73,Preparation,147,Loss,89,Preparation
Complete,134,7,2,3,0,2,0,0,0,5,2,14,30,4,12,N/A,N/A,N/A,N/A,171,Loss,168,Loss,141,Preparation,133,Win,167,Preparation,126,Win,160,Preparation
Complete,135,7,1,2,3,1,0,0,0,3,4,10,18,18,25,N/A,N/A,N/A,N/A,107,Preparation,80,Battle,169,Win,142,Preparation,150,Battle,163,Loss,105,Battle
Complete,136,7,1,2,1,3,0,0,0,3,2,5,18,5,12,N/A,N/A,N/A,N/A,144,Loss,102,Preparation,167,Win,131,Battle,164,Preparation,125,Loss,166,Loss
Complete,137,7,2,1,1,3,0,0,0,3,3,9,19,6,19,N/A,N/A,N/A,N/A,103,Win,72,Win,116,Preparation,145,Loss,131,Loss,120,Battle,154,Loss
Complete,138,7,4,2,0,1,0,0,0,6,4,12,36,13,24,N/A,N/A,N/A,N/A,117,Preparation,91,Win,121,Win,158,Win,109,Preparation,153,Win,163,Loss
Complete,139,7,2,2,1,2,0,0,0,4,3,6,24,11,18,N/A,N/A,N/A,N/A,91,Preparation,61,Loss,152,Preparation,123,Battle,126,Win,140,Loss,100,Win
Complete,140,7,3,2,2,0,0,0,0,5,5,18,31,14,30,N/A,N/A,N/A,N/A,127,Battle,37,Preparation,120,Win,144,Preparation,149,Win,139,Win,143,Battle
Complete,141,7,0,2,2,3,0,0,0,2,2,1,12,5,12,N/A,N/A,N/A,N/A,197,Preparation,147,Loss,134,Battle,156,Loss,111,Battle,146,Loss,117,Preparation
Complete,142,7,2,0,2,3,0,0,0,2,4,2,12,14,24,N/A,N/A,N/A,N/A,122,Win,121,Win,163,Loss,135,Battle,162,Loss,128,Battle,75,Loss
Complete,143,7,3,2,1,1,0,0,0,5,4,18,30,15,24,N/A,N/A,N/A,N/A,116,Preparation,131,Loss,176,Win,118,Battle,170,Win,156,Win,140,Preparation
Complete,144,7,3,2,1,1,0,0,0,5,4,17,30,14,24,N/A,N/A,N/A,N/A,136,Win,128,Preparation,145,Win,140,Battle,169,Loss,174,Preparation,127,Win
Complete,145,7,3,1,1,2,0,0,0,4,4,7,25,11,24,N/A,N/A,N/A,N/A,161,Battle,51,Preparation,144,Loss,137,Win,114,Win,175,Loss,110,Win
Complete,146,7,4,2,0,1,0,0,0,6,4,11,36,9,24,N/A,N/A,N/A,N/A,204,Win,167,Loss,133,Preparation,157,Preparation,104,Win,141,Win,173,Win
Complete,147,7,2,1,1,3,0,0,0,3,3,10,18,7,18,N/A,N/A,N/A,N/A,125,Battle,141,Win,124,Preparation,175,Loss,152,Loss,133,Win,114,Loss
Complete,148,7,2,1,2,2,0,0,0,3,4,12,18,13,24,N/A,N/A,N/A,N/A,179,Win,99,Win,129,Loss,153,Preparation,174,Battle,166,Battle,125,Loss
Complete,149,7,2,2,1,2,0,0,0,4,3,12,25,11,18,N/A,N/A,N/A,N/A,69,Preparation,111,Loss,125,Battle,164,Preparation,140,Loss,119,Win,129,Win
Complete,150,7,3,3,1,0,0,0,0,6,4,23,36,11,24,N/A,N/A,N/A,N/A,154,Win,174,Win,131,Win,130,Preparation,135,Preparation,161,Preparation,155,Battle
